"run","density","fraction_blue","circle_blue","circle_orange","eth_con","val_lib","eth_lib","val_con","determinism","utility_function","step","et_sq_bl","et_sq_or","et_cl_bl","et_cl_or","vl_sq_bl","vl_sq_or","vl_cl_bl","vl_cl_or","mv_gl","mv_sq_bl","mv_cl_bl","mv_sq_or","mv_cl_or","mv_cl","mv_sq","mv_bl","mv_or"
20,70,50,50,50,1,1,0.5,0.5,19,"single-peaked",2000,0.941692422161172,0.929623015873015,0.646863070122564,0.662586487586487,0.748477564102565,0.841004464285714,0.792538175607796,0.872911579161579,0.103804347826087,0.143540669856459,0.0611814345991561,0.170833333333333,0.0427350427350427,0.0520169851380042,0.158129175946548,0.0997757847533632,0.107594936708861
45,70,50,50,50,1,1,0.5,0.7,2,"single-peaked",2000,0.592380437023294,0.609113211445099,0.531734465086483,0.539445442747329,0.629862399505257,0.61329408118996,0.641896220371557,0.603556454028153,0.428494041170097,0.402597402597403,0.434977578475336,0.438177874186551,0.438155136268344,0.436619718309859,0.420368364030336,0.418502202643172,0.43816631130064
55,70,50,50,50,1,1,0.5,0.7,12,"single-peaked",2000,0.975309375309375,0.978332836266031,0.724067283163265,0.718583306338409,0.944267894267895,0.934914007356596,0.946635841836735,0.930628441852931,0.101135749053542,0.120582120582121,0.0535714285714286,0.162839248434238,0.0612244897959184,0.0573678290213723,0.141666666666667,0.0882669537136706,0.114130434782609
2,70,50,50,50,1,1,0.5,0.5,1,"single-peaked",2000,0.558156370656371,0.55140837585034,0.524617620067299,0.529157744468237,0.520675139425139,0.52687606292517,0.533947690425207,0.55490465993678,0.477546549835706,0.484234234234234,0.443254817987152,0.484375,0.498929336188437,0.471092077087794,0.484304932735426,0.463227222832053,0.491803278688525
43,70,50,50,50,1,1,0.5,0.7,0,"single-peaked",2000,0.500961947278912,0.486843506977735,0.505979662698413,0.489518189249949,0.48391262755102,0.477386278896346,0.50922123015873,0.508151951767832,0.495926127104834,0.484375,0.466666666666667,0.492170022371365,0.540772532188841,0.503171247357294,0.488268156424581,0.475215517241379,0.51697699890471
41,70,50,50,50,1,1,0.5,0.6,19,"single-peaked",2000,0.9708527696793,0.960866091403004,0.688059240975007,0.681482683982685,0.846379980563655,0.945565675934804,0.856158078782268,0.95808170995671,0.0917979359043998,0.167006109979633,0.0388768898488121,0.138702460850112,0.0159090909090909,0.0276854928017719,0.153518123667377,0.10482180293501,0.0777903043968433
25,70,50,50,50,1,1,0.5,0.6,3,"single-peaked",2000,0.705057489966374,0.687586915297093,0.567488954344625,0.570296425920034,0.69908341468706,0.666153076274758,0.712903780068728,0.702237777070739,0.346301369863014,0.373576309794989,0.321649484536082,0.367256637168142,0.325167037861915,0.323340471092077,0.37037037037037,0.346320346320346,0.346281908990011
56,70,50,50,50,1,1,0.5,0.7,13,"single-peaked",2000,0.978893110435664,0.980962986530916,0.707664160401003,0.683714179183978,0.93975937183384,0.943697634955987,0.94855388471178,0.946825396825397,0.0825190010857763,0.0914893617021277,0.0526315789473684,0.137777777777778,0.0492170022371365,0.0509761388286334,0.114130434782609,0.071957671957672,0.0936454849498328
22,70,50,50,50,1,1,0.5,0.6,0,"single-peaked",2000,0.449085365853659,0.536599221437625,0.448171866447729,0.532744360902256,0.502758420441347,0.508050425493391,0.481343732895457,0.492619047619048,0.479414951245937,0.475609756097561,0.48735632183908,0.484790874524715,0.469473684210526,0.478021978021978,0.480769230769231,0.481656804733728,0.477522477522478
62,70,50,50,50,1,1,0.5,0.7,19,"single-peaked",2000,0.986282532105921,0.981687603466745,0.699390558826567,0.713147321428572,0.967982157063303,0.933043626448535,0.96800175601694,0.947279265873016,0.0724324324324324,0.0930787589498807,0.0238611713665944,0.138775510204082,0.0333333333333333,0.0286928799149841,0.117711771177118,0.0568181818181818,0.0865979381443299
