"run","density","fraction_blue","circle_blue","circle_orange","dominant_con","M_con","eth_con","val_con","dominant_lib","M_lib","val_lib","eth_lib","determinism","step","et_sq_bl","et_sq_or","et_cl_bl","et_cl_or","vl_sq_bl","vl_sq_or","vl_cl_bl","vl_cl_or","mv_gl","mv_sq_bl","mv_cl_bl","mv_sq_or","mv_cl_or","mv_cl","mv_sq","mv_bl","mv_or"
1685,70,50,50,50,0.5,0.4,1,0.5,1,0.6,1,0.5,4,2000,0.611549754430921,0.587515051997811,0.532650596470473,0.499630169528129,0.622621716848175,0.631496989600438,0.668199743665582,0.674524889320808,0.380609418282548,0.439461883408072,0.304347826086957,0.455172413793103,0.331065759637188,0.317099567099567,0.447219069239501,0.369214208826695,0.392694063926941
1684,70,50,50,50,0.5,0.4,1,0.5,1,0.6,1,0.5,3,2000,0.547232280008778,0.572105866416589,0.510677655677655,0.516274117405583,0.592574610489357,0.59307856621861,0.63452380952381,0.615104166666667,0.426519337016575,0.481566820276498,0.41978021978022,0.439824945295405,0.368534482758621,0.393906420021763,0.460157126823794,0.449943757030371,0.403908794788274
1688,70,50,50,50,0.5,0.4,1,0.5,1,0.6,1,0.5,7,2000,0.760635271807839,0.766299969011467,0.496954595791805,0.479788069073783,0.848153708386009,0.859412767276109,0.869893285009564,0.877145473574045,0.192829983704508,0.311946902654867,0.0739957716701903,0.342733188720174,0.0461538461538462,0.0603448275862069,0.327491785323111,0.19027027027027,0.195414847161572
1691,70,50,50,50,0.5,0.4,1,0.5,1,0.6,1,0.5,10,2000,0.902314814814815,0.909832924586144,0.521824511054422,0.50688166721654,0.902211640211641,0.933295013284284,0.913892431972789,0.936354888375674,0.13396331295164,0.23059866962306,0.03125,0.244111349036403,0.0207852193995381,0.0261066969353008,0.237472766884532,0.131256952169077,0.136666666666667
1690,70,50,50,50,0.5,0.4,1,0.5,1,0.6,1,0.5,9,2000,0.894375063458219,0.889769104185951,0.516846804511278,0.498667214012042,0.900611737232207,0.920695772909595,0.903866436925647,0.930473453749315,0.14887794198139,0.245762711864407,0.0394736842105263,0.275862068965517,0.0229885057471264,0.0314253647586981,0.260683760683761,0.144396551724138,0.153503893214683
1695,70,50,50,50,0.5,0.4,1,0.5,1,0.6,1,0.5,14,2000,0.941544499896028,0.936602194321909,0.488907914764079,0.504115869542565,0.93297982948638,0.907880895826264,0.9455642530985,0.924161196207148,0.122747747747748,0.224400871459695,0.0205479452054795,0.225118483412322,0.0240700218818381,0.0223463687150838,0.224744608399546,0.124860646599777,0.120591581342435
1686,70,50,50,50,0.5,0.4,1,0.5,1,0.6,1,0.5,5,2000,0.63595028319698,0.643804457953394,0.524956004140787,0.518820105820106,0.711393434025594,0.711339918946303,0.733594720496894,0.723944444444445,0.307901907356948,0.426373626373626,0.189130434782609,0.414893617021277,0.197777777777778,0.193406593406593,0.420540540540541,0.307103825136612,0.308695652173913
1698,70,50,50,50,0.5,0.4,1,0.5,1,0.7,1,0.5,1,2000,0.528986409378566,0.516792267365662,0.501933850463262,0.49527034290014,0.552977487291213,0.547730996068152,0.545798319327732,0.547366440933033,0.489325842696629,0.483660130718954,0.531674208144796,0.470183486238532,0.471783295711061,0.501694915254237,0.477094972067039,0.507214206437292,0.47098976109215
1692,70,50,50,50,0.5,0.4,1,0.5,1,0.6,1,0.5,11,2000,0.927879403794038,0.936523268398268,0.53871668164121,0.489047076689446,0.927044618660472,0.938871753246753,0.942759808325846,0.936289185378024,0.125337655321448,0.237322515212982,0.0188679245283019,0.233031674208145,0.00683371298405467,0.0131004366812227,0.235294117647059,0.129896907216495,0.120317820658343
1694,70,50,50,50,0.5,0.4,1,0.5,1,0.6,1,0.5,13,2000,0.931362007168459,0.933783712600084,0.510496420790538,0.49921164021164,0.91094470046083,0.914854614412137,0.926670297748729,0.928944444444444,0.115973741794311,0.223655913978495,0.0196078431372549,0.213656387665198,0.00444444444444444,0.0121012101210121,0.218715995647443,0.122294372294372,0.109513274336283
1693,70,50,50,50,0.5,0.4,1,0.5,1,0.6,1,0.5,12,2000,0.934185518024997,0.938580344031886,0.494825020525451,0.505807322929172,0.918476913541989,0.948167086217747,0.931591235632184,0.952746098439375,0.110931610123856,0.207792207792208,0.0172413793103448,0.210989010989011,0.0126050420168067,0.0148936170212766,0.20937840785169,0.11231101511879,0.109559613319012
